Date,On Peak (kWh),Super Off Peak (kWh),Off Peak (kWh)
12/29/2019  ,2.485  ,8.33  ,1.98  
12/30/2019  ,4.02  ,1.55  ,6.325  
12/31/2019  ,4.275  ,2.01  ,9.19  
1/01/2020  ,2.925  ,5.76  ,2.475  
1/02/2020  ,2.915  ,1.19  ,5.785  
1/03/2020  ,2.125  ,1.515  ,4.885  
1/04/2020  ,3.04  ,3.21  ,3.115  
1/05/2020  ,2.29  ,4.69  ,1.68  
1/06/2020  ,1.59  ,1.51  ,4.545  
1/07/2020  ,1.72  ,1.145  ,3.405  
1/08/2020  ,2.365  ,1.17  ,6.01  
1/09/2020  ,3.2  ,1.15  ,4.32  
1/10/2020  ,2.415  ,1.23  ,6.355  
1/11/2020  ,1.835  ,3.09  ,1.745  
1/12/2020  ,2.355  ,4.705  ,2.8  
1/13/2020  ,1.86  ,1.16  ,4.09  
1/14/2020  ,2.29  ,1.18  ,3.97  
1/15/2020  ,1.84  ,1.16  ,3.495  
1/16/2020  ,2.345  ,1.235  ,4.42  
1/17/2020  ,2.095  ,1.145  ,7.9  
1/18/2020  ,3.005  ,4.095  ,2.625  
1/19/2020  ,2.125  ,4.01  ,1.795  
1/20/2020  ,2.545  ,1.22  ,6.465  
1/21/2020  ,2.595  ,1.2  ,3.33  
1/22/2020  ,3.14  ,1.175  ,4.26  
1/23/2020  ,1.81  ,1.185  ,3.355  
1/24/2020  ,1.17  ,1.29  ,4.16  
1/25/2020  ,2.25  ,4.64  ,2.71  
1/26/2020  ,3.98  ,5.43  ,4.965  
1/27/2020  ,2.41  ,1.575  ,5.555  
1/28/2020  ,2.445  ,1.59  ,4.51  
1/29/2020  ,2.455  ,1.195  ,5.315  
1/30/2020  ,2.135  ,1.88  ,9.53  
1/31/2020  ,4.07  ,1.525  ,5.095  
2/01/2020  ,4.82  ,5.145  ,4.435  
2/02/2020  ,2.77  ,4.655  ,3.735  
2/03/2020  ,3.36  ,0.975  ,7.43  
2/04/2020  ,1.85  ,1.415  ,4.155  
2/05/2020  ,2.485  ,1.2  ,4.145  
2/06/2020  ,2.11  ,1.235  ,3.96  
2/07/2020  ,1.75  ,1.285  ,3.99  
2/08/2020  ,2.655  ,5.205  ,2.17  
2/09/2020  ,4.54  ,4.68  ,4.065  
2/10/2020  ,2.78  ,1.19  ,3.995  
2/11/2020  ,3.19  ,1.47  ,4.67  
2/12/2020  ,1.515  ,1.235  ,3.745  
2/13/2020  ,1.79  ,1.145  ,4.225  
2/14/2020  ,3.445  ,1.41  ,4.66  
2/15/2020  ,1.945  ,4.875  ,2.45  
2/16/2020  ,2.845  ,4.09  ,2.12  
2/17/2020  ,5.28  ,3.14  ,2.07  
2/18/2020  ,2.89  ,1.2  ,3.265  
2/19/2020  ,2.05  ,1.22  ,4.385  
2/20/2020  ,3.56  ,1.27  ,5.54  
2/21/2020  ,2.635  ,1.545  ,4.355  
2/22/2020  ,2.66  ,4.41  ,3.07  
2/23/2020  ,4.48  ,4.66  ,2.11  
2/24/2020  ,2.73  ,1.54  ,4.945  
2/25/2020  ,5.2  ,1.8  ,4.865  
2/26/2020  ,3.025  ,1.78  ,6.35  
2/27/2020  ,2.68  ,1.555  ,5.465  
2/28/2020  ,1.54  ,1.66  ,4.135  
2/29/2020  ,3.77  ,4.33  ,1.97  
3/01/2020  ,2.875  ,6.175  ,3.11  
3/02/2020  ,1.99  ,3.295  ,3.595  
3/03/2020  ,1.505  ,2.685  ,2.92  
3/04/2020  ,2.3  ,2.175  ,3.9  
3/05/2020  ,1.705  ,2.145  ,4.605  
3/06/2020  ,2.16  ,2.265  ,2.85  
3/07/2020  ,3.735  ,5.595  ,5.285  
3/08/2020  ,3.08  ,5.54  ,3.22  
3/09/2020  ,2.095  ,2.31  ,4.48  
3/10/2020  ,4.695  ,2.795  ,2.825  
3/11/2020  ,1.72  ,2.59  ,3.655  
3/12/2020  ,2.015  ,2.81  ,3.205  
3/13/2020  ,2.3  ,2.82  ,3.515  
